Date,Close,High,Low,Open,Volume,Above SMA 20,Above SMA 50,Above SMA 200,A,D,AD Change,AD,Percent Change,Cumulative Return,Stock 1,Buy Stock 1 Percent Change,Sell Stock 1 Percent Change,Stock 1 Cumulative Return,Stock 2,Buy Stock 2 Percent Change,Sell Stock 2 Percent Change,Stock 2 Cumulative Return,Stock 3,Buy Stock 3 Percent Change,Sell Stock 3 Percent Change,Stock 3 Cumulative Return,Stock 4,Buy Stock 4 Percent Change,Sell Stock 4 Percent Change,Stock 4 Cumulative Return,Stock 5,Buy Stock 5 Percent Change,Sell Stock 5 Percent Change,Stock 5 Cumulative Return,Stock Percent Change,Cumulative Stock Return
2017-12-01,2642.219970703125,2650.6201171875,2605.52001953125,2645.10009765625,3950930000,371,389,397,179,304,-125,-82695,0.0,1.0,MU,0.0010450710999166505,0.0,1.0052253554995834,STM,-0.001451899834205227,0.0,0.9927405008289739,AVGO,-0.002849668570827364,0.0,0.9857516571458632,ILMN,-0.0013551255886891593,0.0,0.9932243720565542,NVDA,-0.0018338102498390478,0.0,0.9908309487508048,-0.006445433143644148,0.9935545668563559
2017-12-04,2639.43994140625,2665.18994140625,2639.030029296875,2657.18994140625,4025840000,331,360,406,253,230,23,-82672,-0.0010521566439205543,0.9989478433560794,MU,-0.009954719719798688,0.0,0.9551916721534166,STM,-0.002792815642099811,0.0,0.9788777948326681,AVGO,-0.005855024462561209,0.0,0.9568936568128669,ILMN,-0.010468833754698804,0.0,0.9412348678956783,NVDA,-0.011149287575159006,0.0,0.935595652820853,-0.04022068115431752,0.9535931254134103
2017-12-05,2629.570068359375,2648.719970703125,2627.72998046875,2639.780029296875,3547570000,296,345,402,135,348,-213,-82885,-0.0037393815604747083,0.9952123962107577,MU,0.006566398347305391,0.0,0.986552517240357,STM,0.0002741453376814196,0.0,0.9802195687507343,AVGO,-0.0014870085135961998,0.0,0.9497791117414321,ILMN,-0.0022394029238711035,0.0,0.9306958473196033,NVDA,0.0011571619513333076,0.0,0.9410088312772387,0.0042712941988528146,0.9576662021980545
2017-12-06,2629.27001953125,2634.409912109375,2624.75,2626.239990234375,3253080000,294,341,400,234,249,-15,-82900,-0.00011410565998426492,0.9950988368434636,MU,0.0017956579291030117,0.0,0.9954100714906529,STM,-0.005200727199451727,0.0,0.9547302958875504,AVGO,0.0017121657202776143,0.0,0.9579100079262292,ILMN,0.00276698812659415,0.0,0.9435719691146224,NVDA,0.0016192525700216899,0.0,0.9486274861195325,0.0026933371465447382,0.960245520154425
2017-12-07,2636.97998046875,2640.989990234375,2626.530029296875,2628.3798828125,3297060000,319,353,399,340,143,197,-82703,0.0029323579853828274,0.9980168228639267,MU,0.007792219963844049,0.0,1.0341923426470574,STM,-0.0002810980994854884,0.0,0.9533884315290744,AVGO,0.0,0.0,0.9579100079262292,ILMN,0.0006449175830721022,0.0,0.9466145998835023,NVDA,0.0028849704969353684,0.0,0.9623112976697166,0.011041009944366032,0.970847600491483
2017-12-08,2651.5,2651.64990234375,2644.10009765625,2646.2099609375,3126750000,345,370,403,387,96,291,-82412,0.005506306319651655,1.003512209202781,MU,4.6312291339889455e-05,0.0,1.0344318217324282,STM,0.0007504918598849387,0.0,0.9569659828149296,AVGO,-0.003016363318628268,0.0,0.9434629848739512,ILMN,0.0027763559484213387,0.0,0.9597552952597475,NVDA,-0.0005209195895915286,0.0,0.9598048636385096,3.587719142637022e-05,0.9708824317766916
2017-12-11,2659.989990234375,2660.330078125,2651.469970703125,2652.18994140625,3141480000,347,377,407,260,223,37,-82375,0.003201957471006933,1.0067254126182845,MU,-0.0009257247607068254,0.0,1.0296438259792242,STM,0.0035514007562674533,0.0,0.9739588313903854,AVGO,3.073116585179392e-05,0.0,0.9436079534612671,ILMN,-0.0032529226727101793,0.0,0.944145246458727,NVDA,0.003310880908840375,0.0,0.975693861634674,0.0027143653975426176,0.9735177614545882
2017-12-12,2664.110107421875,2669.719970703125,2659.780029296875,2661.72998046875,3568910000,331,364,407,220,263,-43,-82418,0.001548922064604108,1.0082847518228866,MU,-0.005347592710748916,0.0,1.0021132468868537,STM,-0.000734659743504218,0.0,0.9703811896641208,AVGO,-0.00096171366616431,0.0,0.939070550139542,ILMN,-0.0013731269672105475,0.0,0.9376630899643463,NVDA,-0.0039247876969842775,0.0,0.9565469053138397,-0.01234188078461227,0.9615027213010131
2017-12-13,2662.85009765625,2671.8798828125,2662.85009765625,2667.590087890625,3568360000,322,363,409,241,242,-1,-82419,-0.0004729570906678582,1.0078078764000997,MU,0.0009077849598263743,0.0,1.006661763554687,STM,0.0031337128287976415,0.0,0.9855856695784927,AVGO,0.002574420890992979,0.0,0.9511583643515196,ILMN,0.0017964582048386468,0.0,0.9460854527210504,NVDA,-0.004883704881795282,0.0,0.9331894413581029,0.00352867200266036,0.9648955490341498
2017-12-14,2652.010009765625,2668.090087890625,2652.010009765625,2665.8701171875,3442760000,275,334,400,121,362,-241,-82660,-0.004070859227173984,1.0037052324072377,MU,0.000903701744505625,0.0,1.0112103735139444,STM,-0.00435573806219245,0.0,0.9641209045058203,AVGO,-0.002053230836652897,0.0,0.9413936259303852,ILMN,-0.003449070758678441,0.0,0.9297698743700943,NVDA,0.00031162991663769013,0.0,0.9346434900971908,-0.008642707996380472,0.9565562385568404
